Date,TLT,GLD,SPY,VIX
1990-12-07,,,,22.5900001526
1990-12-10,,,,23.5799999237
1990-12-11,,,,23.7500000000
1990-12-12,,,,21.2800006866
1990-12-13,,,,23.0499992371
1990-12-14,,,,23.8500003815
1990-12-17,,,,24.8500003815
1990-12-18,,,,23.1100006104
1990-12-19,,,,23.0799999237
1990-12-20,,,,23.1299991608
1990-12-21,,,,22.6599998474
1990-12-24,,,,24.0300006866
1990-12-26,,,,24.1800003052
1990-12-27,,,,24.8099994659
1990-12-28,,,,25.0499992371
1990-12-31,,,,26.3799991608
1991-01-02,,,,26.6200008392
1991-01-03,,,,27.9300003052
1991-01-04,,,,27.1900005341
1991-01-07,,,,28.9500007629
1991-01-08,,,,30.3799991608
1991-01-09,,,,33.2999992371
1991-01-10,,,,31.3299999237
1991-01-11,,,,32.6300010681
1991-01-14,,,,36.2000007629
1991-01-15,,,,36.1599998474
1991-01-16,,,,33.2000007629
1991-01-17,,,,27.4500007629
1991-01-18,,,,25.3899993896
1991-01-21,,,,24.3299999237
1991-01-22,,,,24.8999996185
1991-01-23,,,,23.9200000763
1991-01-24,,,,22.8600006104
1991-01-25,,,,22.2000007629
1991-01-28,,,,23.0499992371
1991-01-29,,,,23.1700000763
1991-01-30,,,,21.3700008392
1991-01-31,,,,20.9099998474
1991-02-01,,,,21.0400009155
1991-02-04,,,,21.8600006104
1991-02-05,,,,21.4599990845
1991-02-06,,,,22.6800003052
1991-02-07,,,,23.6000003815
1991-02-08,,,,23.3799991608
1991-02-11,,,,22.5599994659
1991-02-12,,,,22.2600002289
1991-02-13,,,,20.8600006104
1991-02-14,,,,21.4799995422
1991-02-15,,,,19.5699996948
1991-02-19,,,,19.8400001526
1991-02-20,,,,22.2600002289
1991-02-21,,,,20.7800006866
1991-02-22,,,,21.0100002289
1991-02-25,,,,22.8600006104
1991-02-26,,,,20.3799991608
1991-02-27,,,,21.2600002289
1991-02-28,,,,21.2299995422
1991-03-01,,,,21.2299995422
1991-03-04,,,,20.8600006104
1991-03-05,,,,20.4500007629
1991-03-06,,,,20.5499992371
1991-03-07,,,,21.0499992371
1991-03-08,,,,20.8099994659
1991-03-11,,,,20.8799991608
1991-03-12,,,,18.8199996948
1991-03-13,,,,16.0900001526
1991-03-14,,,,14.9399995804
1991-03-15,,,,14.8999996185
1991-03-18,,,,15.7899999619
1991-03-19,,,,16.1100006104
1991-03-20,,,,16.0400009155
1991-03-21,,,,16.8600006104
1991-03-22,,,,16.4899997711
1991-03-25,,,,16.7600002289
1991-03-26,,,,16.3099994659
1991-03-27,,,,16.5499992371
1991-03-28,,,,16.8799991608
1991-04-01,,,,17.4200000763
1991-04-02,,,,17.3999996185
1991-04-03,,,,17.6100006104
1991-04-04,,,,18.0100002289
1991-04-05,,,,17.6299991608
1991-04-08,,,,17.4099998474
1991-04-09,,,,20.1200008392
1991-04-10,,,,19.7299995422
1991-04-11,,,,17.2399997711
1991-04-12,,,,18.4500007629
1991-04-15,,,,16.5000000000
1991-04-16,,,,15.8199996948
1991-04-17,,,,15.4700002670
1991-04-18,,,,16.2600002289
1991-04-19,,,,15.6800003052
1991-04-22,,,,16.7800006866
1991-04-23,,,,17.0200004578
1991-04-24,,,,16.7199993134
1991-04-25,,,,17.1499996185
1991-04-26,,,,17.2700004578
1991-04-29,,,,18.2700004578
1991-04-30,,,,18.2399997711
1991-05-01,,,,17.7700004578
1991-05-02,,,,17.5200004578
1991-05-03,,,,17.2399997711
1991-05-06,,,,17.9200000763
1991-05-07,,,,17.4599990845
1991-05-08,,,,17.7800006866
1991-05-09,,,,17.1700000763
1991-05-10,,,,17.5400009155
1991-05-13,,,,17.6599998474
1991-05-14,,,,18.0000000000
1991-05-15,,,,18.3799991608
1991-05-16,,,,17.2399997711
1991-05-17,,,,16.6399993896
1991-05-20,,,,17.1000003815
1991-05-21,,,,16.0699996948
1991-05-22,,,,16.1599998474
1991-05-23,,,,16.1100006104
1991-05-24,,,,15.2299995422
1991-05-28,,,,15.6700000763
1991-05-29,,,,15.8999996185
1991-05-30,,,,16.0200004578
1991-05-31,,,,15.9300003052
1991-06-03,,,,16.8700008392
1991-06-04,,,,16.1700000763
1991-06-05,,,,16.3999996185
1991-06-06,,,,16.9300003052
1991-06-07,,,,16.9799995422
1991-06-10,,,,17.4699993134
1991-06-11,,,,17.3199996948
1991-06-12,,,,17.7199993134
1991-06-13,,,,16.9899997711
1991-06-14,,,,15.9799995422
1991-06-17,,,,15.5000000000
1991-06-18,,,,16.1399993896
1991-06-19,,,,17.4400005341
1991-06-20,,,,16.7500000000
1991-06-21,,,,16.5100002289
1991-06-24,,,,18.2800006866
1991-06-25,,,,17.8500003815
1991-06-26,,,,17.9799995422
1991-06-27,,,,17.8700008392
1991-06-28,,,,19.5499992371
1991-07-01,,,,18.6399993896
1991-07-02,,,,17.6299991608
1991-07-03,,,,19.4699993134
1991-07-05,,,,18.3500003815
1991-07-08,,,,20.2900009155
1991-07-09,,,,19.7600002289
1991-07-10,,,,19.1900005341
1991-07-11,,,,17.3899993896
1991-07-12,,,,18.2900009155
1991-07-15,,,,17.7800006866
1991-07-16,,,,17.4899997711
1991-07-17,,,,17.5200004578
1991-07-18,,,,15.7700004578
1991-07-19,,,,15.5000000000
1991-07-22,,,,16.8999996185
1991-07-23,,,,16.5799999237
1991-07-24,,,,16.4099998474
1991-07-25,,,,15.7399997711
1991-07-26,,,,15.4499998093
1991-07-29,,,,15.6700000763
1991-07-30,,,,15.4700002670
1991-07-31,,,,15.1800003052
1991-08-01,,,,15.4700002670
1991-08-02,,,,15.2600002289
1991-08-05,,,,15.9200000763
1991-08-06,,,,15.5399999619
1991-08-07,,,,15.5600004196
1991-08-08,,,,15.9799995422
1991-08-09,,,,15.4499998093
1991-08-12,,,,15.2600002289
1991-08-13,,,,14.7299995422
1991-08-14,,,,15.0900001526
1991-08-15,,,,15.1899995804
1991-08-16,,,,16.0100002289
1991-08-19,,,,21.1900005341
1991-08-20,,,,18.8600006104
1991-08-21,,,,15.6199998856
1991-08-22,,,,14.5900001526
1991-08-23,,,,14.4099998474
1991-08-26,,,,14.8100004196
1991-08-27,,,,15.4600000381
1991-08-28,,,,15.3100004196
1991-08-29,,,,14.8199996948
1991-08-30,,,,14.4600000381
1991-09-03,,,,16.5699996948
1991-09-04,,,,17.1800003052
1991-09-05,,,,17.3099994659
1991-09-06,,,,16.7600002289
1991-09-09,,,,17.7299995422
1991-09-10,,,,18.2199993134
1991-09-11,,,,17.9599990845
1991-09-12,,,,16.2099990845
1991-09-13,,,,17.8799991608
1991-09-16,,,,17.8199996948
1991-09-17,,,,17.6800003052
1991-09-18,,,,17.5599994659
1991-09-19,,,,17.5599994659
